id,low,high,open,close,volume,dt
XRP_USDT,0.5884,0.5992,0.59,0.5949,9686254,2023-12-01
LTC_USDT,69.06,71.655,69.309,70.978,12366177,2023-12-01
BTC_USDT,37566.3,38500,37662.38,38338.52,128772456,2023-12-01
MKR_USDT,1511.69,1553.14,1525.81,1541.95,3418440.8,2023-12-01
DOGE_USDT,0.081347,0.083788,0.083139,0.082368,13628443,2023-12-01
ETH_USDT,2042.55,2094.67,2049.07,2067.38,65175444,2023-12-01
BCH_USDT,220.66,225.35,221.44,222.94,10715175,2023-12-01
BNB_USDT,226,229.24,227.4,226.69,5343052,2023-12-01
TRX_USDT,0.10659,0.12136,0.11107,0.10944,15046916,2023-12-01
ADA_USDT,0.3733,0.38446,0.37546,0.38437,15427102,2023-12-01
SHIB_USDT,0.000008211,0.000008369,0.000008296,0.000008315,12672232,2023-12-01
DOGE_USDT,0.081808,0.0838,0.082368,0.083764,10167624,2023-12-02
XRP_USDT,0.5853,0.599,0.5949,0.5968,11038589,2023-12-02
ETH_USDT,2058,2126.33,2066.92,2120,58520976,2023-12-02
LTC_USDT,70.544,71.712,70.985,71.004,12918260,2023-12-02
MKR_USDT,1499.84,1553.89,1541.32,1537.22,1917151.1,2023-12-02
BNB_USDT,223.74,228,226.67,225.67,8139013,2023-12-02
SHIB_USDT,0.000008278,0.00000902,0.000008314,0.000008527,13782484,2023-12-02
BCH_USDT,222.2,226.14,223.25,224.37,12215034,2023-12-02
ADA_USDT,0.38169,0.39439,0.38399,0.39369,14679072,2023-12-02
BTC_USDT,38150,39000,38352.57,38824.41,111613728,2023-12-02
TRX_USDT,0.1071,0.112,0.1092,0.1112,14310667,2023-12-02
SHIB_USDT,0.000008378,0.000009316,0.000008525,0.000008983,15283641,2023-12-03
ADA_USDT,0.38405,0.40088,0.39362,0.39426,16800160,2023-12-03
MKR_USDT,1498.49,1555.51,1535.78,1514.62,2270262.5,2023-12-03
DOGE_USDT,0.080986,0.084,0.083747,0.082976,15557806,2023-12-03
ETH_USDT,2100,2141.77,2119.49,2140.66,66422752,2023-12-03
BTC_USDT,38713.27,39432.1,38827.82,39408.79,135666400,2023-12-03
BCH_USDT,223.61,227.99,224.39,227.49,13494149,2023-12-03
LTC_USDT,70.275,71.72,71.019,71.334,15000697,2023-12-03
XRP_USDT,0.5856,0.6015,0.5976,0.5956,10996370,2023-12-03
BNB_USDT,221.17,228.41,225.63,223.68,7971814.5,2023-12-03
TRX_USDT,0.10788,0.1225,0.11115,0.11041,15200775,2023-12-03
DOGE_USDT,0.08,0.085,0.082976,0.084998,12598197,2023-12-04
BNB_USDT,219.65,230.42,223.64,227.61,8358548.5,2023-12-04
SHIB_USDT,0.000008709,0.000009253,0.000008984,0.000009053,13867794,2023-12-04
ADA_USDT,0.39162,0.40872,0.39427,0.40092,16526264,2023-12-04
ETH_USDT,2130,2192.67,2140.65,2179.1,76744392,2023-12-04
TRX_USDT,0.10251,0.115,0.11029,0.10417,17905746,2023-12-04
MKR_USDT,1466,1532.05,1511.29,1480.27,2467423.5,2023-12-04
LTC_USDT,70.723,73.019,71.336,71.448,15637917,2023-12-04
BTC_USDT,39400,41000,39404.01,40776.69,136676192,2023-12-04
XRP_USDT,0.5704,0.609,0.5955,0.5846,14857463,2023-12-04
BCH_USDT,226.09,246.34,227.52,245.84,13171364,2023-12-04
ETH_USDT,2118.7,2200,2178.84,2199.59,70850496,2023-12-05
ADA_USDT,0.39184,0.41991,0.40075,0.41594,16151787,2023-12-05
BCH_USDT,237.23,245.85,245.84,244.29,11651402,2023-12-05
DOGE_USDT,0.082658,0.089679,0.085,0.087405,13997587,2023-12-05
SHIB_USDT,0.000008836,0.0000095,0.000009058,0.000009359,14954315,2023-12-05
MKR_USDT,1428.7,1483.42,1479.86,1448.74,2430331,2023-12-05
XRP_USDT,0.5783,0.605,0.5846,0.5874,12875955,2023-12-05
BNB_USDT,221.35,228.27,227.61,223,8231667.5,2023-12-05
TRX_USDT,0.10159,0.105,0.10426,0.10376,16113144,2023-12-05
LTC_USDT,69.897,72.477,71.444,72.464,15149441,2023-12-05
BTC_USDT,39956.17,41942.21,40775.53,41750,148759760,2023-12-05
XRP_USDT,0.5271,0.6054,0.5871,0.6023,12266964,2023-12-06
ETH_USDT,2150.14,2204,2199.57,2169.5,70289448,2023-12-06
SHIB_USDT,0.000009333,0.000010528,0.00000936,0.000009579,15274285,2023-12-06
ADA_USDT,0.40569,0.44779,0.41547,0.4359,15627345,2023-12-06
BCH_USDT,237.23,250,244.29,240.13,15448102,2023-12-06
BNB_USDT,220.47,231.33,222.85,222.31,8076349.5,2023-12-06
BTC_USDT,41400,42585.08,41742.63,42458.64,144603728,2023-12-06
DOGE_USDT,0.08266,0.0966,0.087385,0.087385,10845065,2023-12-06
LTC_USDT,70.979,73.842,72.469,71.102,14844896,2023-12-06
MKR_USDT,1402.16,1468.74,1448.76,1406.32,1928120.6,2023-12-06
TRX_USDT,0.10226,0.10585,0.10376,0.10492,15980281,2023-12-06
ADA_USDT,0.4289,0.45949,0.43625,0.45652,17976452,2023-12-07
XRP_USDT,0.57,0.63,0.6025,0.6049,13548536,2023-12-07
SHIB_USDT,0.000009416,0.000009864,0.000009579,0.000009785,17031242,2023-12-07
BCH_USDT,239.55,247.23,240.15,246.85,16109576,2023-12-07
MKR_USDT,1401.16,1463.17,1405.68,1455.34,2491929.8,2023-12-07
LTC_USDT,70.965,74.294,71.078,74.002,16305566,2023-12-07
ETH_USDT,2076,2255.19,2169.49,2251.13,52470816,2023-12-07
DOGE_USDT,0.081621,0.090993,0.087461,0.090263,14194102,2023-12-07
BNB_USDT,222.05,233.22,222.3,230.21,6746866.5,2023-12-07
BTC_USDT,42296.55,43737.03,42454.69,43279.4,146426528,2023-12-07
TRX_USDT,0.10268,0.10623,0.10492,0.1043,14046542,2023-12-07
LTC_USDT,73.36,77.77,73.988,77.549,14654754,2023-12-08
BNB_USDT,228.24,236.3,230.29,236.1,6576529,2023-12-08
ADA_USDT,0.45291,0.52635,0.4563,0.5216,12020885,2023-12-08
BCH_USDT,244.51,253.64,246.86,253.29,14127263,2023-12-08
SHIB_USDT,0.000009731,0.000010136,0.000009785,0.000010117,11343471,2023-12-08
MKR_USDT,1430,1459.59,1454.8,1447.66,2433320.5,2023-12-08
TRX_USDT,0.10423,0.10727,0.10424,0.1068,14560930,2023-12-08
XRP_USDT,0.5983,0.6405,0.6049,0.6286,10757847,2023-12-08
DOGE_USDT,0.088657,0.092244,0.090263,0.092243,10611002,2023-12-08
BTC_USDT,42889.55,44600,43271.19,44187.7,140628496,2023-12-08
ETH_USDT,2250,2366.47,2251.14,2342.82,75763528,2023-12-08
TRX_USDT,0.10641,0.10888,0.10674,0.1068,16247537,2023-12-09
LTC_USDT,75.014,78.562,77.55,75.265,11951983,2023-12-09
BCH_USDT,248.49,254.85,253.28,251.64,6219593.5,2023-12-09
XRP_USDT,0.6286,0.6765,0.6286,0.6338,10926520,2023-12-09
BTC_USDT,43564.87,44359.87,44187.7,43697.68,137523280,2023-12-09
MKR_USDT,1430.26,1487.12,1447.71,1433.64,2519058.8,2023-12-09
SHIB_USDT,0.000009855,0.000010242,0.00001012,0.000009945,9830350,2023-12-09
BNB_USDT,215.85,241.81,236.08,235.36,5944322,2023-12-09
ADA_USDT,0.52159,0.62965,0.5216,0.57509,11511724,2023-12-09
DOGE_USDT,0.0921,0.097716,0.092244,0.094731,5693314.5,2023-12-09
ETH_USDT,2323.26,2381.07,2342.54,2336.39,76577720,2023-12-09
BTC_USDT,43576.51,44020,43704.87,43789.42,136518240,2023-12-10
SHIB_USDT,0.000009808,0.000010119,0.00000995,0.000010057,2610480.2,2023-12-10
LTC_USDT,75.267,77.716,75.267,76.758,14025285,2023-12-10
DOGE_USDT,0.092,0.10052,0.094711,0.097091,8192848.5,2023-12-10
XRP_USDT,0.62,0.6421,0.634,0.6416,10959239,2023-12-10
ETH_USDT,2322.11,2372,2335.4,2351.51,77277768,2023-12-10
BNB_USDT,233.98,239.05,235.46,236.58,7618320.5,2023-12-10
TRX_USDT,0.10646,0.10849,0.10675,0.10782,15701355,2023-12-10
MKR_USDT,1402.22,1446.54,1433.65,1422.93,2512508,2023-12-10
BCH_USDT,246.38,253.67,251.67,250.96,14280685,2023-12-10
ADA_USDT,0.56397,0.60358,0.57587,0.58672,15546121,2023-12-10
ADA_USDT,0.51518,0.58915,0.58666,0.54468,16980396,2023-12-11
TRX_USDT,0.10141,0.10794,0.1078,0.10386,15398888,2023-12-11
MKR_USDT,1308.19,1428.46,1422.93,1397.25,2460520.8,2023-12-11
LTC_USDT,71.05,77.068,76.73,72.262,14856225,2023-12-11
XRP_USDT,0.5808,0.6416,0.6415,0.5882,13482246,2023-12-11
SHIB_USDT,0.000009036,0.000010139,0.000010057,0.000009348,8182394.5,2023-12-11
BNB_USDT,210,237.71,236.56,224.75,7329573,2023-12-11
DOGE_USDT,0.08895,0.098723,0.097091,0.091034,10622403,2023-12-11
BTC_USDT,40345.6,43811.62,43789.42,41266.41,148997568,2023-12-11
BCH_USDT,230.35,251.36,250.93,231.18,14049416,2023-12-11
ETH_USDT,2153.35,2354.58,2350.93,2221.79,76418648,2023-12-11
MKR_USDT,1341.6,1399,1397.27,1365.2,2516666.5,2023-12-12
BTC_USDT,40702.4,42092.81,41258.13,41489.12,152086320,2023-12-12
BNB_USDT,222.61,249,224.73,239.33,4466059,2023-12-12
LTC_USDT,70.5,73.185,72.262,71.75,14847398,2023-12-12
TRX_USDT,0.10296,0.10507,0.1039,0.10358,15414693,2023-12-12
ADA_USDT,0.53448,0.58616,0.54468,0.5716,10551422,2023-12-12
ETH_USDT,2168.57,2241.23,2221.77,2203.34,77770192,2023-12-12
DOGE_USDT,0.089048,0.097168,0.091026,0.089713,16499805,2023-12-12
XRP_USDT,0.5803,0.608,0.5881,0.5877,14714474,2023-12-12
SHIB_USDT,0.000009201,0.000009577,0.000009348,0.000009505,13526532,2023-12-12
BCH_USDT,228.42,234.3,231.18,232.25,16446504,2023-12-12
TRX_USDT,0.1019,0.10461,0.10358,0.10438,14574019,2023-12-13
XRP_USDT,0.5701,0.6107,0.5877,0.6106,11161960,2023-12-13
ETH_USDT,2149.06,2281.29,2203.38,2260.45,76791344,2023-12-13
BCH_USDT,227.45,235.19,232.25,234.98,11671872,2023-12-13
SHIB_USDT,0.000009125,0.000009599,0.000009504,0.000009599,8020985,2023-12-13
MKR_USDT,1325.11,1380.75,1365.2,1369.16,2503865.2,2023-12-13
BNB_USDT,238.32,250.45,239.35,249.33,7321395,2023-12-13
BTC_USDT,40600,43390,41490.57,42870.07,151027088,2023-12-13
DOGE_USDT,0.086,0.091219,0.089818,0.089797,10491112,2023-12-13
LTC_USDT,70,73.218,71.815,72.636,15343489,2023-12-13
ADA_USDT,0.53909,0.65579,0.57163,0.65416,16703728,2023-12-13
LTC_USDT,66.297,73.24,72.639,72.114,14160587,2023-12-14
SHIB_USDT,0.000009528,0.000009828,0.000009599,0.000009815,1010855.4,2023-12-14
TRX_USDT,0.10364,0.10609,0.10436,0.10597,12682603,2023-12-14
XRP_USDT,0.5949,0.6128,0.6107,0.6034,10290688,2023-12-14
MKR_USDT,1345.26,1388.46,1368.94,1367.61,2512260,2023-12-14
BNB_USDT,245.86,250.99,249.3,250.98,6733988.5,2023-12-14
BTC_USDT,41549.99,43336.8,42865.98,43016.83,143584480,2023-12-14
ETH_USDT,2234.11,2331.59,2260.21,2315.6,75588640,2023-12-14
ADA_USDT,0.56917,0.65427,0.65421,0.6189,13144026,2023-12-14
BCH_USDT,230.36,237.17,234.97,236.94,15580520,2023-12-14
DOGE_USDT,0.08928,0.09195,0.089916,0.091947,6847065.5,2023-12-14
ADA_USDT,0.5601,0.63,0.61784,0.56688,15174740,2023-12-15
DOGE_USDT,0.08585,0.093,0.091947,0.08883,8530233,2023-12-15
BTC_USDT,41711.33,43082.31,43012.85,41929.8,152498688,2023-12-15
TRX_USDT,0.10141,0.10694,0.10598,0.10155,13599584,2023-12-15
ETH_USDT,2201.6,2317.64,2315.36,2220.88,79941384,2023-12-15
SHIB_USDT,0.000009498,0.000009821,0.00000981,0.000009513,9026951,2023-12-15
BNB_USDT,240.43,250.98,250.98,241.45,9123434,2023-12-15
LTC_USDT,69.891,72.15,72.109,70.205,15431814,2023-12-15
BCH_USDT,230.35,237.05,236.9,230.35,14945264,2023-12-15
XRP_USDT,0.581,0.612,0.6032,0.5889,14189646,2023-12-15
MKR_USDT,1310.97,1371.73,1367.03,1317.46,2715341.5,2023-12-15
TRX_USDT,0.10118,0.10318,0.10154,0.10283,13981335,2023-12-16
LTC_USDT,70.035,71.769,70.204,71.423,16566144,2023-12-16
DOGE_USDT,0.088016,0.092528,0.08883,0.091335,11962957,2023-12-16
BTC_USDT,41720.6,42705.73,41928.87,42277.93,149727248,2023-12-16
XRP_USDT,0.582,0.5963,0.5884,0.587,15577442,2023-12-16
SHIB_USDT,0.000009434,0.000010361,0.000009507,0.000010361,8250904.5,2023-12-16
BCH_USDT,228.91,232.51,230.35,230.3,16104919,2023-12-16
BNB_USDT,240.54,245,241.5,241.84,8971939,2023-12-16
ADA_USDT,0.56621,0.6053,0.56677,0.59837,17979082,2023-12-16
MKR_USDT,1306.87,1382.91,1317.44,1334.36,2725994,2023-12-16
ETH_USDT,2220.71,2262.71,2220.72,2228.84,77433968,2023-12-16
DOGE_USDT,0.088142,0.093481,0.091335,0.089999,11830163,2023-12-17
ETH_USDT,2201.45,2249.8,2228.81,2201.45,77766824,2023-12-17
LTC_USDT,69.786,72.368,71.421,70.23,17101226,2023-12-17
ADA_USDT,0.5601,0.60345,0.59827,0.57346,17057724,2023-12-17
BNB_USDT,236.73,241.91,241.77,237.06,9248430,2023-12-17
SHIB_USDT,0.000009862,0.00001038,0.000010361,0.000010155,7694460,2023-12-17
XRP_USDT,0.58,0.5969,0.5869,0.5931,14565061,2023-12-17
MKR_USDT,1320.79,1352.35,1334.06,1322.41,2746924.5,2023-12-17
BTC_USDT,41300,42418.51,42285.04,41362.46,151514976,2023-12-17
TRX_USDT,0.10201,0.10341,0.10283,0.10202,15041798,2023-12-17
BCH_USDT,226.51,231,230.3,226.54,16983536,2023-12-17
ADA_USDT,0.53556,0.58838,0.57355,0.57825,17084176,2023-12-18
SHIB_USDT,0.000009549,0.000010247,0.000010146,0.000010161,6371714.5,2023-12-18
XRP_USDT,0.5666,0.5958,0.5931,0.5816,16663112,2023-12-18
BNB_USDT,212.67,237.07,237.01,235.21,8433768,2023-12-18
BCH_USDT,224.61,228.94,226.53,228.83,8208718,2023-12-18
TRX_USDT,0.09806,0.10204,0.10202,0.1009,14177319,2023-12-18
LTC_USDT,67.128,70.56,70.229,69.938,13150777,2023-12-18
BTC_USDT,40700,42724.58,41362.42,42646.42,157705280,2023-12-18
DOGE_USDT,0.084955,0.090735,0.089998,0.086904,13741350,2023-12-18
MKR_USDT,1259.89,1342.57,1322.46,1294.46,2708459.2,2023-12-18
ETH_USDT,2122.52,2221.57,2201.45,2218.13,75793128,2023-12-18
DOGE_USDT,0.084512,0.089585,0.0869,0.087462,11421649,2023-12-19
BTC_USDT,41786.6,43413.12,42647.6,42273.56,156083392,2023-12-19
MKR_USDT,1262.36,1313.32,1294.73,1293.6,2753367.8,2023-12-19
SHIB_USDT,0.000009913,0.000010358,0.00001016,0.000010027,11114812,2023-12-19
BCH_USDT,227.04,230.88,228.86,227.05,12560107,2023-12-19
ETH_USDT,2144.48,2254.18,2218.67,2182.03,79397440,2023-12-19
ADA_USDT,0.52,0.59577,0.57911,0.56902,11176115,2023-12-19
XRP_USDT,0.5701,0.6077,0.5816,0.5813,13064610,2023-12-19
BNB_USDT,213.99,247.8,235.21,246.65,6289257,2023-12-19
TRX_USDT,0.10004,0.10161,0.10089,0.10062,14978443,2023-12-19
