id,low,high,open,close,volume,dt
LTC_USDT,67.5,70.332,69.945,69.313,15152554,2023-12-19
ETH_USDT,2159.54,2264.13,2181.89,2201.88,82229992,2023-12-20
DOGE_USDT,0.0855,0.088923,0.087441,0.086899,13363359,2023-12-20
LTC_USDT,67.14,70.2,69.334,68.368,16885976,2023-12-20
BNB_USDT,232,250,246.52,241.31,8744182,2023-12-20
TRX_USDT,0.10055,0.10332,0.10062,0.10277,14641204,2023-12-20
XRP_USDT,0.5706,0.5943,0.5812,0.5831,16280829,2023-12-20
BCH_USDT,226.66,233.87,227.05,229.82,13831202,2023-12-20
ADA_USDT,0.46,0.58999,0.56945,0.57407,16587012,2023-12-20
SHIB_USDT,0.000009871,0.000010348,0.000010027,0.000010099,9991342,2023-12-20
BTC_USDT,42194.23,44232.33,42282.36,43656.73,156504928,2023-12-20
MKR_USDT,1276.7,1319.83,1293.41,1289.72,2729890,2023-12-20
XRP_USDT,0.5764,0.6079,0.5831,0.5938,14187505,2023-12-21
BTC_USDT,43324.86,44205.33,43655.03,43856.85,165372288,2023-12-21
SHIB_USDT,0.000010035,0.00001027,0.000010099,0.00001027,11847019,2023-12-21
TRX_USDT,0.10255,0.10487,0.10273,0.10463,14926352,2023-12-21
LTC_USDT,67.51,70.097,68.369,69.977,16425938,2023-12-21
ADA_USDT,0.451,0.62679,0.57413,0.62383,11630044,2023-12-21
DOGE_USDT,0.085,0.091537,0.086899,0.091285,11807582,2023-12-21
BNB_USDT,232.93,271.83,241.36,269.38,8013048.5,2023-12-21
BCH_USDT,228.78,233.87,229.79,233.01,16576221,2023-12-21
MKR_USDT,1287.95,1348.33,1291.43,1326.8,2755332.8,2023-12-21
ETH_USDT,2184.33,2276.94,2202.78,2240.1,81879792,2023-12-21
ETH_USDT,2232.47,2340.27,2240,2324.02,81921744,2023-12-22
XRP_USDT,0.5825,0.6075,0.594,0.5999,13254834,2023-12-22
BNB_USDT,262.82,274.11,269.5,270.3,8987544,2023-12-22
MKR_USDT,1314.78,1394.68,1326.48,1393.46,2737330,2023-12-22
BCH_USDT,231.36,239.96,233.05,238.14,17256684,2023-12-22
DOGE_USDT,0.0871,0.091498,0.091331,0.089749,11772503,2023-12-22
LTC_USDT,68.75,70.2,69.987,70.2,12238766,2023-12-22
BTC_USDT,43428.57,44350,43848.47,43977.24,159325232,2023-12-22
SHIB_USDT,0.0000095,0.000010638,0.00001027,0.000010484,9587966,2023-12-22
TRX_USDT,0.10381,0.105,0.10464,0.105,14140037,2023-12-22
ADA_USDT,0.56949,0.64,0.62369,0.61507,17293240,2023-12-22
ADA_USDT,0.53967,0.61583,0.61495,0.57429,19816208,2023-12-23
LTC_USDT,69.639,70.787,70.2,70.705,13397822,2023-12-23
TRX_USDT,0.10402,0.10694,0.105,0.10669,13948519,2023-12-23
BNB_USDT,265.05,271.23,270.26,269.32,8969115,2023-12-23
ETH_USDT,2265.2,2331.21,2324.1,2308.79,77289384,2023-12-23
BTC_USDT,43311.99,43990.68,43967.35,43716.38,156708064,2023-12-23
DOGE_USDT,0.088626,0.090113,0.089748,0.088696,12090075,2023-12-23
XRP_USDT,0.55,0.6,0.6,0.5814,12455860,2023-12-23
SHIB_USDT,0.000009266,0.000010483,0.000010477,0.000010098,12399538,2023-12-23
MKR_USDT,1346.82,1398.9,1393.16,1384.7,2759849.8,2023-12-23
BCH_USDT,230.96,238.59,238.14,233.04,17434134,2023-12-23
TRX_USDT,0.10545,0.10744,0.10669,0.10615,14592894,2023-12-24
ADA_USDT,0.56002,0.59876,0.57409,0.56265,7990412,2023-12-24
XRP_USDT,0.5701,0.6015,0.5812,0.5892,10597183,2023-12-24
LTC_USDT,68.75,70.871,70.691,69.451,17051834,2023-12-24
MKR_USDT,1383.38,1440.13,1384.71,1397.18,2751495.5,2023-12-24
DOGE_USDT,0.087236,0.088963,0.088696,0.088529,5410505,2023-12-24
BNB_USDT,261,270.49,269.36,262.98,8495851,2023-12-24
BCH_USDT,228.99,234.11,232.89,229.36,17511284,2023-12-24
BTC_USDT,42709.92,43930.09,43708.76,42984.57,160223792,2023-12-24
SHIB_USDT,0.000009906,0.000010328,0.000010098,0.000010142,12442853,2023-12-24
ETH_USDT,2250,2325.24,2307.89,2263.92,82252136,2023-12-24
BCH_USDT,228.99,237.17,229.44,234.74,18194338,2023-12-25
LTC_USDT,68.788,69.986,69.434,69.284,16773765,2023-12-25
XRP_USDT,0.58,0.6258,0.5891,0.6095,14607852,2023-12-25
ADA_USDT,0.55266,0.61,0.56249,0.61,10430914,2023-12-25
SHIB_USDT,0.000009989,0.000010337,0.000010142,0.000010042,12298114,2023-12-25
ETH_USDT,2254.71,2303.33,2264.42,2271.73,77156816,2023-12-25
MKR_USDT,1393.23,1433.28,1397.23,1415.01,1892455.6,2023-12-25
BTC_USDT,42749.99,43765.28,43003.41,43575.29,157251392,2023-12-25
BNB_USDT,260.41,267.28,262.83,265.36,8949359,2023-12-25
DOGE_USDT,0.088,0.088695,0.088529,0.088314,8900109,2023-12-25
TRX_USDT,0.10554,0.10817,0.10618,0.10585,14379960,2023-12-25
BTC_USDT,41798.55,43595.81,43575.29,42515.87,159418224,2023-12-26
TRX_USDT,0.10213,0.10645,0.10585,0.10305,14335137,2023-12-26
BCH_USDT,228.01,235.19,234.72,229.82,12479335,2023-12-26
BNB_USDT,262.71,302.95,265.35,298.02,8705062,2023-12-26
LTC_USDT,68.99,70.361,69.259,70.279,14539771,2023-12-26
SHIB_USDT,0.000009432,0.000010042,0.000010042,0.000009796,11751725,2023-12-26
ETH_USDT,2181.84,2275.4,2272.01,2230.01,76239168,2023-12-26
MKR_USDT,1400.01,1459.57,1415.31,1417.44,2066909.4,2023-12-26
ADA_USDT,0.57173,0.6177,0.61,0.60117,18670036,2023-12-26
XRP_USDT,0.5921,0.6139,0.6094,0.6088,11980040,2023-12-26
DOGE_USDT,0.086,0.088695,0.088291,0.088695,12358286,2023-12-26
MKR_USDT,1401.03,1532.81,1417.18,1530.78,2745992.2,2023-12-27
XRP_USDT,0.5835,0.6106,0.6095,0.6068,12516448,2023-12-27
ADA_USDT,0.57535,0.63003,0.60105,0.62502,14449039,2023-12-27
DOGE_USDT,0.08627,0.090957,0.088695,0.090956,5306292,2023-12-27
LTC_USDT,70.011,73.999,70.24,73.999,7974712,2023-12-27
BNB_USDT,285.16,324.14,298.68,323.51,8790860,2023-12-27
ETH_USDT,2213.27,2391.53,2230.34,2378.26,82085304,2023-12-27
BTC_USDT,42135.15,43645.84,42513.18,43411.36,158571728,2023-12-27
SHIB_USDT,0.00000949,0.000009815,0.000009797,0.000009774,8761784,2023-12-27
BCH_USDT,227.31,248.33,229.83,248.33,6357620,2023-12-27
TRX_USDT,0.10249,0.1055,0.10304,0.10539,13811477,2023-12-27
ADA_USDT,0.56,0.645,0.62502,0.60642,11088532,2023-12-28
BNB_USDT,319.28,338.37,322.04,323.81,8901171,2023-12-28
TRX_USDT,0.10455,0.10644,0.10535,0.10548,13563128,2023-12-28
SHIB_USDT,0.00000865,0.000009979,0.000009766,0.000009536,11581817,2023-12-28
DOGE_USDT,0.08603,0.090957,0.090957,0.08786,8288983.5,2023-12-28
ETH_USDT,2337.26,2445.51,2377.85,2344.72,81379344,2023-12-28
LTC_USDT,73.126,76.371,74,73.554,11705933,2023-12-28
BTC_USDT,42170.3,43753.71,43406.22,42552.48,156499600,2023-12-28
MKR_USDT,1529.99,1626.02,1530.74,1559.59,2618056,2023-12-28
XRP_USDT,0.59,0.6099,0.6068,0.5981,12786473,2023-12-28
BCH_USDT,248.32,254.8,248.33,254.8,373808.25,2023-12-28
XRP_USDT,0.5816,0.6025,0.5983,0.5902,15023091,2023-12-29
LTC_USDT,71.604,74.578,73.542,72.283,16722843,2023-12-29
BCH_USDT,249.48,254.8,254.8,253.04,10266263,2023-12-29
SHIB_USDT,0.000009,0.000009541,0.000009535,0.000009117,13969700,2023-12-29
TRX_USDT,0.10474,0.10674,0.10541,0.1056,14039106,2023-12-29
ETH_USDT,2261.81,2382.55,2344.35,2300.28,77581872,2023-12-29
BNB_USDT,308.62,325.87,323.8,314.92,7811782,2023-12-29
MKR_USDT,1519.44,1592.35,1559.36,1539.74,2495151.5,2023-12-29
DOGE_USDT,0.086694,0.088,0.08786,0.087474,15776404,2023-12-29
BTC_USDT,41388.82,43084.45,42567.79,42082.75,157673856,2023-12-29
ADA_USDT,0.57,0.60777,0.60633,0.5878,17715922,2023-12-29
LTC_USDT,71.374,73.029,72.262,72.229,13843287,2023-12-30
XRP_USDT,0.5711,0.5995,0.5901,0.5883,16217941,2023-12-30
MKR_USDT,1523.05,1624.9,1539.68,1602.06,2608527,2023-12-30
BCH_USDT,252.89,275,253.04,268.81,7001650.5,2023-12-30
TRX_USDT,0.10517,0.10718,0.1056,0.10597,15163323,2023-12-30
ADA_USDT,0.5796,0.59291,0.5877,0.58371,14468199,2023-12-30
DOGE_USDT,0.0841,0.088,0.087482,0.085564,15361059,2023-12-30
SHIB_USDT,0.0000085,0.000009835,0.000009114,0.000009242,7885345.5,2023-12-30
BNB_USDT,313.24,321.05,314.94,317.45,8323008,2023-12-30
ETH_USDT,2269.38,2322.08,2299.58,2291.74,80411376,2023-12-30
BTC_USDT,41528.47,42589.95,42079.17,42141.5,153538416,2023-12-30
BTC_USDT,41901,42866.66,42140.32,42267.35,141768160,2023-12-31
XRP_USDT,0.5711,0.6,0.5883,0.5912,13946827,2023-12-31
DOGE_USDT,0.083932,0.087053,0.085589,0.086608,14331575,2023-12-31
MKR_USDT,1585.42,1739.38,1602.08,1692.68,1622194.2,2023-12-31
BCH_USDT,254.2,270.43,268.81,259.48,16452652,2023-12-31
ADA_USDT,0.57364,0.5962,0.58372,0.58635,18146742,2023-12-31
BNB_USDT,310.2,325.38,317.47,311.85,7572290,2023-12-31
ETH_USDT,2258.89,2320.51,2292.2,2282.03,67191592,2023-12-31
LTC_USDT,70.837,73.211,72.247,71.941,15347253,2023-12-31
TRX_USDT,0.1057,0.10899,0.10596,0.10771,15004050,2023-12-31
SHIB_USDT,0.000009,0.000009964,0.000009241,0.00000991,7679787,2023-12-31
DOGE_USDT,0.083838,0.087714,0.086608,0.0872,17739754,2024-01-01
BNB_USDT,309,316.01,311.85,313.51,8021996.5,2024-01-01
TRX_USDT,0.10613,0.10835,0.10768,0.10761,15952053,2024-01-01
LTC_USDT,71.158,73.698,71.949,73.594,15653825,2024-01-01
BCH_USDT,255.64,269.28,259.43,266.74,18705948,2024-01-01
ADA_USDT,0.58189,0.61482,0.58585,0.61226,17667910,2024-01-01
ETH_USDT,2265.68,2349.42,2282.4,2348.89,74391928,2024-01-01
SHIB_USDT,0.000009909,0.000010441,0.00000991,0.000010271,7681631.5,2024-01-01
BTC_USDT,42198.56,44000.64,42273.26,43999.21,153383120,2024-01-01
MKR_USDT,1637.87,1768.33,1693.54,1642.41,2723472.5,2024-01-01
XRP_USDT,0.5855,0.605,0.5911,0.6002,18516940,2024-01-01
ETH_USDT,2344.79,2426.22,2348.81,2354.99,65471536,2024-01-02
DOGE_USDT,0.08675,0.089331,0.087193,0.089237,8590038,2024-01-02
TRX_USDT,0.10729,0.11045,0.10761,0.10839,13379919,2024-01-02
MKR_USDT,1612.01,1896.74,1642.13,1823.85,1954802.8,2024-01-02
LTC_USDT,71.827,74.16,73.597,72.3,11539971,2024-01-02
XRP_USDT,0.58,0.6099,0.6,0.6073,14271067,2024-01-02
ADA_USDT,0.58403,0.62087,0.61232,0.59689,15064700,2024-01-02
BTC_USDT,44000.63,45640.62,44000.64,44958.52,131493160,2024-01-02
BNB_USDT,306.74,321.34,313.56,312.04,7434791.5,2024-01-02
SHIB_USDT,0.000009871,0.00001045,0.000010237,0.000010159,10413450,2024-01-02
BCH_USDT,254.66,269.71,266.79,257.05,14838634,2024-01-02
ADA_USDT,0.51,0.60757,0.59698,0.55024,18576860,2024-01-03
BNB_USDT,290.01,335.2,312.05,315.96,8091245,2024-01-03
ETH_USDT,2172,2383.39,2355.09,2210.18,73807936,2024-01-03
SHIB_USDT,0.000008768,0.000010348,0.000010158,0.000009464,14516495,2024-01-03
BTC_USDT,41838.58,45471.12,44937.32,42854.01,144745824,2024-01-03
DOGE_USDT,0.076314,0.089731,0.089232,0.080961,16714742,2024-01-03
LTC_USDT,54.531,73.016,72.305,65.088,15677204,2024-01-03
XRP_USDT,0.5,0.62,0.6073,0.5535,10454279,2024-01-03
TRX_USDT,0.1036,0.10995,0.10832,0.10677,15155587,2024-01-03
MKR_USDT,1737.03,1958.22,1823.44,1805.85,2479331,2024-01-03
BCH_USDT,236.98,267.97,257.05,238.86,16442165,2024-01-03
BTC_USDT,42628.8,44685,42840.46,44154.91,147419984,2024-01-04
BNB_USDT,311.08,324.62,315.57,323.72,8172999.5,2024-01-04
TRX_USDT,0.10637,0.10861,0.10677,0.10698,14660379,2024-01-04
DOGE_USDT,0.064614,0.081827,0.08097,0.081822,13518512,2024-01-04
LTC_USDT,64.441,66.688,65.094,66.241,15780852,2024-01-04
XRP_USDT,0.537,0.56,0.5532,0.5534,13236161,2024-01-04
MKR_USDT,1718.38,1855.83,1805.06,1774.99,2480968.5,2024-01-04
SHIB_USDT,0.000008923,0.000009903,0.000009463,0.000009786,12771872,2024-01-04
ETH_USDT,2202.51,2291.91,2210.09,2268.27,73239224,2024-01-04
BCH_USDT,236.98,241.37,238.81,240.71,16624103,2024-01-04
ADA_USDT,0.54151,0.57,0.55044,0.56373,19297482,2024-01-04
SHIB_USDT,0.000009297,0.00000982,0.000009786,0.000009711,18630504,2024-01-05
DOGE_USDT,0.079902,0.082894,0.08182,0.080999,14497621,2024-01-05
BCH_USDT,234.97,241.81,240.74,239.87,18835294,2024-01-05
BNB_USDT,308.8,326.8,323.66,317.42,9004726,2024-01-05
BTC_USDT,42761.15,44293.72,44132.21,44149.3,168203408,2024-01-05
ADA_USDT,0.51901,0.5663,0.56308,0.53525,21645796,2024-01-05
XRP_USDT,0.5297,0.5601,0.5531,0.5498,16218136,2024-01-05
ETH_USDT,2207.13,2275.42,2268,2267.92,83333280,2024-01-05
TRX_USDT,0.10327,0.10714,0.10694,0.10441,16930070,2024-01-05
MKR_USDT,1673.81,1824.55,1774.03,1739.81,2753224,2024-01-05
LTC_USDT,63.68,66.498,66.25,65.91,17697756,2024-01-05
LTC_USDT,63.204,65.978,65.91,65.185,16579614,2024-01-06
BNB_USDT,300.58,317.46,317.41,307.65,8245963.5,2024-01-06
BCH_USDT,236.98,243.53,239.87,237.16,10213514,2024-01-06
ETH_USDT,2217.88,2270.19,2268.28,2240.98,73668016,2024-01-06
MKR_USDT,1689.28,1777.09,1739.49,1698.41,2577645.5,2024-01-06
DOGE_USDT,0.0768,0.081223,0.081,0.079729,15400519,2024-01-06
BTC_USDT,43424.3,44216.17,44161.82,43959.09,144641616,2024-01-06
ADA_USDT,0.50686,0.53753,0.53526,0.52253,20415186,2024-01-06
XRP_USDT,0.504,0.55,0.5498,0.5407,16909414,2024-01-06
TRX_USDT,0.10183,0.1044,0.1044,0.10408,17057012,2024-01-06
SHIB_USDT,0.000009226,0.000009721,0.000009716,0.000009486,18845334,2024-01-06
BTC_USDT,43910.96,44250,43962.07,44105.44,5485310,2024-01-07
XRP_USDT,0.5381,0.5463,0.5406,0.54,606989.3,2024-01-07
TRX_USDT,0.10378,0.10415,0.10404,0.10396,645217.9,2024-01-07
BCH_USDT,236.99,240.05,237.15,237.96,713202.3,2024-01-07
SHIB_USDT,0.000009462,0.000009505,0.00000949,0.000009498,446994.9,2024-01-07
ADA_USDT,0.52055,0.52882,0.52243,0.52648,731773.3,2024-01-07
LTC_USDT,65.071,65.351,65.184,65.286,641239.94,2024-01-07
DOGE_USDT,0.079624,0.080443,0.079718,0.080435,520030.66,2024-01-07
MKR_USDT,1693.85,1738.1,1697.69,1726.88,98420.23,2024-01-07
ETH_USDT,2238.55,2253.42,2241.32,2250.38,2477373.5,2024-01-07
BNB_USDT,306.74,309.06,307.81,307.79,350160.16,2024-01-07